song_genre_id,song_id
53,152
106,192
134,198
56,205
18,180
108,250
27,393
110,354
112,414
134,307
84,265
129,306
12,223
71,87
56,340
108,129
71,162
89,94
112,291
57,220
88,270
27,220
28,208
134,419
134,322
21,56
5,21
10,29
71,187
7,375
108,33
34,209
102,218
55,183
83,295
72,187
32,413
27,218
98,168
81,159
113,63
60,385
108,188
112,251
108,311
62,29
108,5
71,26
108,259
118,290
92,329
107,227
129,140
107,254
134,144
92,48
13,223
80,235
112,340
118,153
107,203
36,268
30,78
67,192
5,251
75,164
19,218
61,344
30,140
71,88
107,126
129,78
39,343
27,19
69,402
43,281
27,264
18,117
56,414
108,75
126,302
108,34
62,340
87,350
107,61
119,23
134,240
136,222
62,205
135,192
134,69
34,343
44,117
134,359
38,249
108,28
131,344
107,111
111,281
30,194
44,24
134,266
11,223
55,295
29,347
92,192
98,114
134,319
88,186
112,19
101,420
46,190
96,225
107,106
7,182
65,6
31,270
129,194
62,9
108,103
27,347
107,288
115,282
62,159
108,135
25,374
129,154
103,102
27,290
121,347
14,339
129,293
22,117
30,154
93,320
24,380
50,232
71,283
69,211
99,161
107,78
4,55
39,412
71,350
127,49
108,355
67,149
107,140
129,227
8,181
86,135
30,70
55,77
108,4
128,235
67,412
107,204
126,18
98,270
3,164
134,356
36,134
107,70
121,291
84,130
36,380
7,3
108,352
112,295
134,271
134,257
12,153
7,183
17,164
6,318
108,123
67,343
59,205
30,106
80,53
126,168
85,289
108,110
134,1
30,111
130,209
16,283
40,405
108,368
27,172
50,24
80,368
120,32
72,26
74,161
16,346
47,300
77,101
40,317
86,259
92,343
134,148
45,66
108,412
20,56
126,174
84,365
16,58
71,284
135,152
54,192
27,9
133,164
79,168
24,134
135,160
108,235
42,193
123,77
30,293
134,237
107,135
42,231
49,223
81,29
19,249
67,135
92,160
27,122
69,119
57,9
129,70
90,231
35,90
108,53
53,192
57,345
12,375
51,221
107,28
88,168
112,105
108,204
122,223
98,11
134,326
120,149
16,391
48,56
108,39
134,72
45,63
134,388
66,29
134,243
108,200
134,167
27,222
129,203
68,233
88,174
67,48
2,218
52,374
33,232
107,194
134,349
62,414
26,164
24,268
41,24
129,111
69,121
71,272
109,251
67,209
35,320
72,324
108,192
114,60
39,160
71,310
56,345
108,140
104,83
119,177
6,13
112,220
129,106
132,416
60,145
108,78
112,9
130,343
56,9
28,41
108,309
67,131
112,182
37,339
129,355
117,247
19,295
39,48
107,259
40,277
1,230
112,183
30,287
40,179
27,291
4,117
126,54
93,301
7,221
99,361
16,303
73,60
55,249
112,221
125,164
40,8
112,68
95,66
27,105
117,156
40,406
107,412
27,414
64,98
84,202
108,132
93,90
91,251
107,154
28,67
108,139
110,48
39,329
59,270
92,152
42,7
35,118
60,68
134,351
68,344
51,182
39,135
97,63
88,302
135,131
8,239
19,183
95,83
112,249
86,309
112,327
70,277
7,37
88,18
134,362
74,361
125,231
82,63
134,275
57,420
84,178
107,293
116,311
84,43
134,371
7,249
105,281
134,170
134,84
27,327
63,329
120,398
96,385
112,63
107,165
100,277
54,152
136,290
30,355
62,345
94,411
107,306
40,81
76,104
88,54
107,287
121,122
9,146
55,310
27,236
31,54
15,339
116,413
124,315
132,49
93,118
27,340
35,301
37,210
55,284
107,79
58,249
128,53
23,282
118,222
6,337
107,158
47,116
78,272
67,32
129,287
91,286
108,253
107,355
112,145
