user_id,game_id
1,7533
1,2759
1,7
1,20213
1,17436
1,755
1,3197
1,5398
1,4827
1,4905
1,2039
1,8065
1,7602
1,1642
1,2615
1,20699
1,4594
1,15786
1,7846
1,15345
1,25917
1,46
1,3672
1,1934
1,4697
1,4140
1,1628
1,6961
1,17091
1,15042
1,5918
1,8359
1,11891
1,7483
1,12141
1,11197
1,4435
1,8437
1,6482
1,1632
1,16013
1,4932
1,526
1,19900
1,4304
1,11219
1,19433
1,26970
1,1899
1,1482
1,26965
1,3031
1,7136
1,1952
1,9159
1,3299
1,3360
1,1546
1,9635
1,4548
1,4821
1,12612
1,4323
1,2036
1,10198
1,1726
1,1931
1,5370
1,919
1,9047
1,1008
1,13398
1,19884
1,2494
1,6660
1,23801
1,8878
1,3160
1,1647
1,13669
1,12195
1,8304
1,13259
1,20838
1,11191
1,7226
1,14554
1,3496
1,19866
1,1071
1,1406
1,15603
1,8269
1,7948
1,17649
1,2985
1,5436
1,8583
1,13261
1,6707
1,15396
1,16078
1,12161
1,2097
1,4657
1,2439
1,8445
1,10099
1,9418
1,1547
1,1705
1,8059
1,1101
1,10037
1,17938
1,3854
1,5219
1,2030
1,23947
1,7931
1,19806
1,1118
1,10253
1,16463
1,10351
1,24483
1,12053
1,11376
1,10718
1,1972
1,5205
1,4976
1,6898
1,7402
1,12852
1,8460
1,2149
1,11627
1,1479
1,13564
1,2941
1,7349
1,2086
1,10005
1,1902
1,6393
1,9631
1,1139
1,13402
2,14985
2,16157
2,1170
2,2950
2,4888
2,14682
2,8601
2,11948
2,1640
2,7215
2,22249
2,7162
2,2536
2,22389
2,2797
2,1151
2,3044
2,7659
2,25216
2,8391
2,1683
2,4444
2,3473
2,1181
2,6175
2,9483
2,1189
2,2319
2,5048
2,1200
2,1393
2,6651
2,4143
2,10940
2,14463
2,9536
2,16019
2,5572
2,15620
2,1674
2,2035
2,22589
2,11709
2,5356
2,16788
2,14185
2,1185
2,1836
2,20335
2,13018
2,1356
2,1216
2,11449
2,1740
2,12342
2,13361
2,24296
2,5521
2,6619
2,13690
2,10951
2,13586
2,7541
2,6599
2,1754
2,2274
2,5970
2,8298
2,15291
2,15915
2,5481
2,7440
2,7549
2,9699
2,3819
2,15772
2,17854
2,1257
2,9496
2,1477
2,10742
2,2695
2,19934
2,2242
2,7004
2,6934
2,2199
2,13422
2,9180
2,9443
2,18055
2,2364
2,3932
2,2073
2,7436
2,11643
2,9831
2,14596
2,9941
2,5635
2,4505
2,21935
2,17709
2,12382
2,9553
2,1127
2,10608
2,11498
2,3291
2,9964
2,9741
2,17906
2,12057
2,2742
2,2214
2,10293
2,13494
2,10179
2,21393
2,24682
2,1092
2,3294
2,14247
2,17252
2,14830
2,14499
2,21815
2,4542
2,12723
2,3706
2,2045
2,3637
2,4375
2,3277
2,3616
2,14737
2,7061
2,17202
2,16860
2,24040
2,19554
2,7717
2,4824
2,1081
2,24043
2,10518
2,2074
2,5386
2,12532
2,24293
2,15360
2,10799
2,24977
2,4431
2,24264
2,8046
2,1892
2,6757
2,15098
2,2273
2,14071
2,14852
2,18984
2,7665
2,1703
2,8196
2,3286
2,8693
2,1691
2,11817
2,25111
2,25865
2,3226
2,3235
2,7351
2,20778
2,1242
2,6284
2,4841
2,120
2,2160
2,12895
2,6316
3,8738
3,15499
3,15279
3,20405
3,2785
3,9662
3,1426
3,18251
3,21586
3,3043
3,11777
3,6585
3,14186
3,13687
3,19593
3,3911
3,1396
3,1550
3,3691
3,9881
3,7615
3,26729
3,21753
3,15045
3,14460
3,15004
3,5348
3,18562
3,570
3,1411
3,26836
3,1131
3,2610
3,7792
3,19788
3,1663
3,1122
3,1699
3,14197
3,2446
3,13736
3,1435
3,7968
3,2627
3,3523
3,15068
3,5014
3,3655
3,18489
3,7269
3,2702
3,2914
3,22397
3,7713
3,2753
3,8340
3,16328
3,4643
3,9601
3,4287
3,12158
3,13245
3,3343
3,1819
3,3063
3,5185
3,10059
3,1459
3,26406
3,2401
3,1653
3,8267
3,5294
3,7271
3,3978
3,1670
3,9402
3,17509
3,6546
3,10222
3,6983
3,1366
3,1962
3,25433
3,2270
3,7296
3,9581
3,4490
3,4569
3,4649
3,1537
3,24956
3,16953
3,7524
3,10233
3,9247
3,6279
3,8659
3,5005
3,4255
3,2814
3,2723
3,6962
3,2349
3,1805
3,6533
3,13862
3,3590
3,8305
3,2058
3,7180
3,6743
3,19573
3,4113
3,1668
3,8885
3,12196
3,1115
3,5449
3,16923
3,7574
3,14501
3,8521
3,18525
3,9874
3,4231
3,4856
3,3732
3,3327
3,5528
3,4805
3,11563
3,1712
3,7439
3,7425
3,8064
3,2259
3,8368
3,26153
3,9253
3,13508
3,4540
3,1068
3,8714
3,21079
3,10171
3,8736
3,12648
3,2402
3,5518
3,2026
3,26248
3,14705
3,9697
3,13496
3,23713
3,9093
3,4834
3,8297
3,14060
3,4043
3,2126
3,1679
3,8792
3,8055
3,1997
3,1777
3,12321
3,12501
3,11932
3,13426
3,8751
3,15298
3,8498
3,5990
3,9451
3,11278
3,1346
3,9067
3,5749
3,1130
3,10075
3,17891
3,12536
3,22658
3,15094
