artist_name-1,Artist Name(s),artist_id
Run The Jewels,DJ Shadow;Run The Jewels,283
Depeche Mode,Depeche Mode,89
The White Stripes,The White Stripes;The Glitch Mob,342
The Glitch Mob,The White Stripes;The Glitch Mob,330
Tom Petty,Tom Petty,348
Tommy Richman,Tommy Richman,349
Ice Cube,Ice Cube,158
Afroman,Afroman,8
Supermode,Supermode;Axwell;Steve Angello,309
Axwell,Supermode;Axwell;Steve Angello,24
Steve Angello,Supermode;Axwell;Steve Angello,304
SNAP!,SNAP!,294
Lynyrd Skynyrd,Lynyrd Skynyrd,215
The Game,The Game;50 Cent,329
50 Cent,The Game;50 Cent,6
Eagles Of Death Metal,Eagles Of Death Metal,106
Beach Weather,Beach Weather,34
DJ Fresh,DJ Fresh,94
Collective Soul,Collective Soul,70
Modjo,Modjo,237
The Halluci Nation,The Halluci Nation,333
Crystal Waters,Crystal Waters;The Basement Boys,77
The Basement Boys,Crystal Waters;The Basement Boys,321
Creedence Clearwater Revival,Creedence Clearwater Revival,74
TrackTribe,TrackTribe,354
2Pac,2Pac;Roger;Dr. Dre,4
Roger,2Pac;Roger;Dr. Dre,280
Dr. Dre,2Pac;Roger;Dr. Dre,99
BigXthaPlug,BigXthaPlug,38
KETTAMA,KETTAMA,187
RÜFÜS DU SOL,RÜFÜS DU SOL,282
Fleetwood Mac,Fleetwood Mac,122
John Farnham,John Farnham,173
John Farnham,John Farnham,173
John Farnham,John Farnham,173
Nirvana,Nirvana,248
Butthole Surfers,Butthole Surfers,50
Guns N' Roses,Guns N' Roses,147
Fontaines D.C.,Fontaines D.C.,125
Arctic Monkeys,Arctic Monkeys,20
Fontaines D.C.,Fontaines D.C.,125
John Farnham,John Farnham,173
1927,1927,3
Bryan Adams,Bryan Adams,48
Rainbow,Rainbow,270
Badfinger,Badfinger,30
Duran Duran,Duran Duran,103
Frankie Valli,Frankie Valli,129
Lana Del Rey,Lana Del Rey;Cedric Gervais,200
Cedric Gervais,Lana Del Rey;Cedric Gervais,59
Creed,Creed,73
Lana Del Rey,Lana Del Rey;Cedric Gervais;Carlos Cid,200
Cedric Gervais,Lana Del Rey;Cedric Gervais;Carlos Cid,59
Carlos Cid,Lana Del Rey;Cedric Gervais;Carlos Cid,57
Robbie Williams,Robbie Williams,279
Holy Fuck,Holy Fuck,153
Dire Straits,Dire Straits,93
