artist_name,song_id
Mariah the Scientist,13
Mariah the Scientist,337
Lil Baby,337
Tory Lanez,128
Trippie Redd,235
Reese LAFLARE,235
Young Thug,235
Jhené Aiko,254
Jhené Aiko,158
Jhené Aiko,79
Drake,28
Jhené Aiko,28
Jhené Aiko,288
Childish Gambino,288
PARTYNEXTDOOR,293
PARTYNEXTDOOR,287
PARTYNEXTDOOR,194
PARTYNEXTDOOR,154
PARTYNEXTDOOR,111
PARTYNEXTDOOR,106
PARTYNEXTDOOR,70
PARTYNEXTDOOR,293
PARTYNEXTDOOR,287
PARTYNEXTDOOR,194
PARTYNEXTDOOR,154
PARTYNEXTDOOR,111
PARTYNEXTDOOR,106
PARTYNEXTDOOR,70
SZA,126
Bryson Tiller,306
Bryson Tiller,227
Bryson Tiller,203
Bryson Tiller,306
Bryson Tiller,227
Bryson Tiller,203
Keyshia Cole,61
Alicia Keys,259
Drake,259
Kendrick Lamar,131
Jay Rock,131
Trey Songz,165
PARTYNEXTDOOR,293
PARTYNEXTDOOR,287
PARTYNEXTDOOR,194
PARTYNEXTDOOR,154
PARTYNEXTDOOR,111
PARTYNEXTDOOR,106
PARTYNEXTDOOR,70
Nardo Wick,132
Future,132
Lil Baby,132
1900Rugrat,44
1900RugratArchive,44
Frank Ocean,269
Bruno Mars,215
Bruno Mars,45
G Herbo,268
Frank Ocean,80
André 3000,80
GloRilla,62
Cardi B,62
Lil Baby,368
Gunna,368
Drake,368
Future,253
Jhené Aiko,254
Jhené Aiko,158
Jhené Aiko,79
Future,188
42 Dugg,188
Lil Baby,188
Lil Baby,299
Lil Baby,292
Lil Baby,299
Lil Baby,292
Drake,352
Drake,250
Drake,200
Drake,139
Drake,123
Drake,103
Drake,75
Drake,39
Drake,34
Drake,4
Drake,5
PARTYNEXTDOOR,293
PARTYNEXTDOOR,287
PARTYNEXTDOOR,194
PARTYNEXTDOOR,154
PARTYNEXTDOOR,111
PARTYNEXTDOOR,106
PARTYNEXTDOOR,70
Mariah the Scientist,318
Mariah the Scientist,13
Nardo Wick,333
Latto,333
Lakeyah,333
Lil Durk,380
Dee Mula,328
Baby Smoove,376
PARTYNEXTDOOR,140
PARTYNEXTDOOR,78
Drake,140
Drake,78
Drake,352
Drake,250
Drake,200
Drake,139
Drake,123
Drake,103
Drake,75
Drake,39
Drake,34
Drake,4
Drake,5
G Herbo,134
Southside,134
YK Osiris,47
Nardo Wick,363
Drake,352
Drake,250
Drake,200
Drake,139
Drake,123
Drake,103
Drake,75
Drake,39
Drake,34
Drake,4
Drake,5
Drake,352
Drake,250
Drake,200
Drake,139
Drake,123
Drake,103
Drake,75
Drake,39
Drake,34
Drake,4
Drake,5
Drake,352
Drake,250
Drake,200
Drake,139
Drake,123
Drake,103
Drake,75
Drake,39
Drake,34
Drake,4
Drake,5
Drake,352
Drake,250
Drake,200
Drake,139
Drake,123
Drake,103
Drake,75
Drake,39
Drake,34
Drake,4
Drake,5
Drake,352
Drake,250
Drake,200
Drake,139
Drake,123
Drake,103
Drake,75
Drake,39
Drake,34
Drake,4
Drake,5
Drake,355
PARTYNEXTDOOR,355
WALK THE MOON,276
Ghost and Pals,351
Ghost and Pals,319
Ghost and Pals,170
Ghost and Pals,69
Anamanaguchi,388
Hatsune Miku,388
Ck9c,169
Elizabeth Ann,169
Jagwar Twin,260
Rebzyyx,402
hoshie star,402
fflockk,261
JubyPhonic,359
Master Andross,359
Ghost and Pals,351
Ghost and Pals,319
Ghost and Pals,170
Ghost and Pals,69
The Living Tombstone,314
The Living Tombstone,296
The Living Tombstone,228
The Living Tombstone,185
The Living Tombstone,136
The Living Tombstone,25
NILFRUITS,362
CircusP,271
CircusP,148
CircusP,1
OR3O,193
Thai McGrath,193
Peter McPoland,336
Tikkle Me,278
Azari,266
Kikuo,144
potsu,101
James Clarke,410
Crusher-P,349
Crusher-P,275
Crusher-P,240
Crusher-P,237
Crusher-P,198
すいっち,419
Matsushita,371
Mother Mother,321
Mother Mother,248
Mother Mother,36
Mother Mother,321
Mother Mother,248
Mother Mother,36
Mother Mother,321
Mother Mother,248
Mother Mother,36
Ghost and Pals,351
Ghost and Pals,319
Ghost and Pals,170
Ghost and Pals,69
Sodikken,217
Sodikken,141
The Living Tombstone,369
Eurobeat Brony,369
Jack Stauber's Micropop,409
Jack Stauber's Micropop,304
Jack Stauber's Micropop,155
Jack Stauber's Micropop,97
The Dresden Dolls,127
Penelope Scott,332
Penelope Scott,234
Penelope Scott,74
Penelope Scott,42
Kyary Pamyu Pamyu,60
Tally Hall,219
Tally Hall,213
Tally Hall,51
Tally Hall,31
Bo Burnham,208
Bo Burnham,67
Bo Burnham,41
Nashimoto Ui,257
Hatsune Miku,257
ENHYPEN,104
Scissor Sisters,107
Amiicus,82
Penelope Scott,332
Penelope Scott,234
Penelope Scott,74
Penelope Scott,42
LongestSoloEver,216
DayumDahlia,216
JT Music,334
Kaden MacKay,143
Alex Brightman,365
Erika Henningsen,365
Sam Haft,365
Andrew Underberg,365
Christian Borle,265
Amir Talai,265
Andrew Underberg,265
Joel Perez,265
Sam Haft,265
Jeremy Jordan,130
Amir Talai,130
Kimiko Glenn,130
Erika Henningsen,130
Andrew Underberg,130
Sam Haft,130
The Living Tombstone,102
Eile Monty,102
Orko,102
JT Music,241
Andrea Storm Kaden,241
Shadrow,197
The Living Tombstone,314
The Living Tombstone,296
The Living Tombstone,228
The Living Tombstone,185
The Living Tombstone,136
The Living Tombstone,25
The Living Tombstone,314
The Living Tombstone,296
The Living Tombstone,228
The Living Tombstone,185
The Living Tombstone,136
The Living Tombstone,25
Jorge Aguilar II,191
Jack Stauber's Micropop,409
Jack Stauber's Micropop,304
Jack Stauber's Micropop,155
Jack Stauber's Micropop,97
Bo Burnham,208
Bo Burnham,67
Bo Burnham,41
Jack Stauber's Micropop,409
Jack Stauber's Micropop,304
Jack Stauber's Micropop,155
Jack Stauber's Micropop,97
Lemon Demon,195
Lemon Demon,40
The Blake Robinson Synthetic Orchestra,226
Laurindo Almeida,56
Jack Stauber's Micropop,409
Jack Stauber's Micropop,304
Jack Stauber's Micropop,155
Jack Stauber's Micropop,97
Black Gryph0n,335
Baasik,335
Elsie Lovelock,335
Regina Spektor,146
Penelope Scott,332
Penelope Scott,234
Penelope Scott,74
Penelope Scott,42
Bo Burnham,208
Bo Burnham,67
Bo Burnham,41
Tally Hall,219
Tally Hall,213
Tally Hall,51
Tally Hall,31
Penelope Scott,332
Penelope Scott,234
Penelope Scott,74
Penelope Scott,42
Kero Kero Bonito,323
Miracle Musical,364
Miracle Musical,279
Miracle Musical,157
CreepP,72
Crusher-P,349
Crusher-P,275
Crusher-P,240
Crusher-P,237
Crusher-P,198
Miracle Musical,364
Miracle Musical,279
Miracle Musical,157
Måneskin,246
Tom Morello,246
asteria,119
mazie,267
Crusher-P,349
Crusher-P,275
Crusher-P,240
Crusher-P,237
Crusher-P,198
Keith David,373
Blake Roman,373
Sam Haft,373
Andrew Underberg,373
Miracle Musical,364
Miracle Musical,279
Miracle Musical,157
Cavetown,58
Griffinilla,390
APOCALIPSIS,243
Derivakat,171
MandoPony,242
Beat Saber,22
The Living Tombstone,22
Tally Hall,219
Tally Hall,213
Tally Hall,51
Tally Hall,31
Rebzyyx,211
Will Stetson,167
bo en,150
bo en,65
The Newton Brothers,23
The Living Tombstone,314
The Living Tombstone,296
The Living Tombstone,228
The Living Tombstone,185
The Living Tombstone,136
The Living Tombstone,25
CreepP,84
CircusP,84
ElyOtto,121
The Living Tombstone,7
OR3O,7
The Living Tombstone,322
Crusher-P,322
Black Gryph0n,294
Baasik,294
PinocchioP,356
Siinamota,307
The Living Tombstone,314
The Living Tombstone,296
The Living Tombstone,228
The Living Tombstone,185
The Living Tombstone,136
The Living Tombstone,25
Richard Carter,224
Erika Henningsen,43
Shoba Narayan,43
Jessica Vosk,43
Patina Miller,43
Stephanie Beatriz,43
Sam Haft,43
Andrew Underberg,43
Caravan Palace,231
bo en,150
bo en,65
Xguiz,98
Patricia Taxxon,98
Stegosaurus Rex,147
deadman 死人,181
AJR,360
AJR,91
AJR,360
AJR,91
Ghost and Pals,351
Ghost and Pals,319
Ghost and Pals,170
Ghost and Pals,69
Roar,400
Lizz Robinett,239
girl in red,346
girl in red,303
Clairo,391
girl in red,346
girl in red,303
Tally Hall,219
Tally Hall,213
Tally Hall,51
Tally Hall,31
Armut,401
Ayparia,401
L Devine,245
Kehlani,305
The Living Tombstone,314
The Living Tombstone,296
The Living Tombstone,228
The Living Tombstone,185
The Living Tombstone,136
The Living Tombstone,25
Melanie Martinez,367
CircusP,271
CircusP,148
CircusP,1
Crusher-P,349
Crusher-P,275
Crusher-P,240
Crusher-P,237
Crusher-P,198
CircusP,271
CircusP,148
CircusP,1
Crusher-P,349
Crusher-P,275
Crusher-P,240
Crusher-P,237
Crusher-P,198
Kitty,262
Lemon Demon,195
Lemon Demon,40
Daphne Rubin-Vega,178
Andrew Underberg,178
Sam Haft,178
Imogen Heap,417
Savlonic,298
Laurie Anderson,223
Rio Romeo,46
Jimmy Urine,2
Basement Jaxx,180
MGMT,162
MGMT,87
MGMT,87
MGMT,88
MGMT,88
chart,238
Starley,20
My Singing Monsters,258
Werdos,258
Dipsters,258
TV Girl,357
TV Girl,338
TV Girl,280
TV Girl,175
Black Gryph0n,244
Baasik,244
Michael Kovach,244
Elsie Lovelock,244
Krystal LaPorte,244
Michelle Marie,244
Mad Tsai,387
Gracie Abrams,407
Queen,220
STOMACH BOOK,403
Evanescence,21
WRABEL,408
WRABEL,341
WRABEL,408
WRABEL,341
Em Beihold,199
Cótiles,115
Cótiles,93
Tryhardninja,173
Toby Fox,177
TV Girl,357
TV Girl,338
TV Girl,280
TV Girl,175
TV Girl,357
TV Girl,338
TV Girl,280
TV Girl,175
TV Girl,357
TV Girl,338
TV Girl,280
TV Girl,175
Sodikken,217
Sodikken,141
Ghost and Pals,326
Lauren Estes,326
Ghost,159
Black Gryph0n,378
Baasik,378
Kevin Foster,378
The Living Tombstone,378
Steven Universe,202
Christine Ebersole,202
Patti LuPone,202
Lisa Hannigan,202
Sarah Stiles,202
The Gregory Brothers,92
TomSka,92
Cótiles,115
Cótiles,93
