song_genre_id,game_genre_id
1,5
2,1
3,19
4,5
5,1
6,12
7,12
7,7
8,2
8,3
9,12
10,22
11,12
12,12
13,19
14,1
15,1
16,5
17,19
18,1
19,1
20,5
20,20
21,19
22,1
23,12
24,25
25,2
26,5
27,1
28,5
29,16
30,18
30,14
31,11
32,5
33,5
34,19
35,25
36,25
37,1
38,1
38,4
39,1
40,1
40,10
41,5
42,5
43,12
44,5
45,12
46,12
47,5
48,19
49,19
50,5
51,1
52,1
53,1
54,25
55,1
56,1
57,1
58,19
59,11
60,12
61,1
62,1
63,25
64,1
65,1
66,1
67,1
68,5
69,5
69,13
70,1
71,12
71,21
72,12
73,2
74,5
75,19
75,8
76,5
77,5
78,12
78,6
79,12
80,12
81,1
82,1
83,1
84,2
84,24
85,19
86,12
87,12
88,12
89,11
90,19
91,1
92,1
93,25
94,5
94,9
95,12
96,12
97,11
98,12
99,5
100,5
101,12
102,12
103,1
104,12
105,12
106,18
107,12
108,1
109,1
110,1
111,12
112,1
113,11
114,5
114,15
115,12
116,5
117,5
118,12
119,2
119,17
120,1
121,1
122,26
122,23
123,12
124,2
125,19
126,5
127,16
128,1
129,12
130,12
131,5
132,19
133,19
134,2
135,1
136,5
